"datetime","Freq","Code","x_hat","y_hat","UTM_E","UTM_N"
"2028-05-25 13:18:00",150.779,31,18.1223548578422,40.3352089707147,765236.978550346,4469643.53539496
"2028-05-25 13:18:05",150.779,31,18.1222931429747,40.3352351660589,765231.632479223,4469646.25856723
"2028-05-25 13:18:20",150.779,31,18.1223476463545,40.3352120316854,765236.353852591,4469643.8536021
"2028-05-25 13:18:25",150.779,31,18.1222963354877,40.3352338109725,765231.909031633,4469646.11769731
"2028-05-25 13:18:45",150.779,31,18.1223411620064,40.3352147840162,765235.792143615,4469644.13972423
"2028-05-25 13:18:50",150.779,31,18.1222841526643,40.3352389820644,765230.853690908,4469646.65526552
"2028-05-25 13:19:05",150.779,31,18.1223542589342,40.3352092249258,765236.926669715,4469643.56182179
"2028-05-25 13:19:30",150.779,31,18.1223537903968,40.3352094238,765236.886082496,4469643.58249602
"2028-05-25 13:19:45",150.779,31,18.1228024780654,40.3355162756521,765273.804223208,4469678.99638358
"2028-05-25 13:19:50",150.779,31,18.1228030996894,40.335516576825,765273.855856298,4469679.03168592
"2028-05-25 13:19:55",150.779,31,18.1223468125033,40.3352123856199,765236.28161993,4469643.89039582
"2028-05-25 13:20:00",150.779,31,18.1228009020591,40.335515269207,765273.674269803,4469678.87991596
"2028-05-25 13:20:10",150.779,31,18.122802741381,40.3355164329044,765273.825978268,4469679.01463232
"2028-05-25 13:20:15",150.779,31,18.1228029940413,40.3355164470958,765273.84738893,4469679.01696594
"2028-05-25 13:20:20",150.778,31,18.1228024232811,40.3355163325668,765273.799345533,4469679.00253809
"2028-05-25 13:20:35",150.779,31,18.1228010835254,40.3355153918063,765273.689206728,4469678.89407183
"2028-05-25 13:20:40",150.779,31,18.1223425663895,40.3352141879151,765235.913798806,4469644.07775576
"2028-05-25 13:21:05",150.778,31,18.1228008601568,40.3355155931179,765273.669439815,4469678.91575203
"2028-05-25 13:21:10",150.779,31,18.1228013013619,40.3355155583686,765273.707061339,4469678.91321775
"2028-05-25 13:21:20",150.779,31,18.1228029058742,40.3355163388323,765273.840322613,4469679.0046816
"2028-05-25 13:21:30",150.779,31,18.1222890901603,40.3352368863067,765231.281402963,4469646.43739803
"2028-05-25 13:24:45",150.779,31,18.1226884385861,40.3354044790311,765264.553593884,4469666.24217381
"2028-05-25 13:25:45",150.778,29,18.122689514724,40.3354055258805,765264.640919804,4469666.36162741
"2028-05-25 13:25:45",150.779,31,18.1226910374734,40.3354070050979,765264.764495312,4469666.53042399
"2028-05-25 13:25:55",150.779,41,18.1224830390907,40.3353230825822,765247.421683668,4469656.58903809
"2028-05-25 13:26:00",150.779,31,18.122450622312,40.3351683227583,765245.274187741,4469639.3097891
"2028-05-25 13:26:00",150.779,41,18.1223358722618,40.3352170292885,765235.333917631,4469644.37313446
"2028-05-25 13:26:05",150.779,31,18.1225017765702,40.3351466099449,765249.70545084,4469637.05261176
"2028-05-25 13:26:05",150.778,29,18.1225015715252,40.3351466969779,765249.687688702,4469637.06165935
"2028-05-25 13:26:15",150.778,29,18.1225017249206,40.335146670295,765249.70082602,4469637.0591571
"2028-05-25 13:26:30",150.778,29,18.1225017253526,40.3351466497779,765249.70094316,4469637.05688051
"2028-05-25 13:26:35",150.778,29,18.1225016822343,40.3351466723664,765249.697191206,4469637.05925902
"2028-05-25 13:26:40",150.779,41,18.1224989640776,40.3351478037288,765249.461817194,4469637.1767127
"2028-05-25 13:27:05",150.779,41,18.1224988645089,40.3351478459915,765249.453192001,4469637.18110615
"2028-05-25 13:27:05",150.778,29,18.1225016903674,40.3351466793823,765249.697854708,4469637.06006234
"2028-05-25 13:27:15",150.778,29,18.122501807766,40.3351466107276,765249.708098211,4469637.05279224
"2028-05-25 13:27:35",150.779,29,18.1225017459643,40.3351466385681,765249.702738302,4469637.05569779
"2028-05-25 13:27:40",150.779,29,18.1225015801711,40.3351466933081,765249.688437659,4469637.06127785
"2028-05-25 13:27:45",150.779,29,18.1225016757821,40.3351466868374,765249.696586285,4469637.06084629
"2028-05-25 13:27:50",150.779,29,18.1225016775639,40.3351466892964,765249.696728038,4469637.06112464
"2028-05-25 13:28:05",150.779,29,18.1225015584573,40.3351467025246,765249.686556694,4469637.06223597
"2028-05-25 13:28:10",150.779,41,18.1224983913796,40.3351480468148,765249.412206931,4469637.20198293
"2028-05-25 13:28:20",150.779,29,18.1225017388335,40.3351466259626,765249.702181877,4469637.05427689
"2028-05-25 13:28:25",150.779,29,18.1225015905641,40.335146730621,765249.689174394,4469637.06545165
"2028-05-25 13:28:30",150.779,29,18.1225016890132,40.3351466907725,765249.697694996,4469637.06132286
"2028-05-25 13:28:40",150.779,41,18.1224936579579,40.3351500559516,765249.002171815,4469637.41084468
"2028-05-25 13:28:40",150.779,29,18.1225016962888,40.3351467353511,765249.698138388,4469637.06629397
"2028-05-25 13:28:45",150.779,29,18.1225018110548,40.3351466152707,765249.708359824,4469637.05330649
"2028-05-25 13:28:50",150.779,29,18.1225015217065,40.3351467468014,765249.68326071,4469637.06704149
"2028-05-25 13:28:55",150.779,29,18.1225016296972,40.3351467074525,765249.692590028,4469637.0629968
"2028-05-25 13:29:00",150.779,29,18.1225016481411,40.3351467081912,765249.694154155,4469637.06313414
"2028-05-25 13:29:05",150.779,29,18.1225017291788,40.3351466517418,765249.701260534,4469637.05711003
"2028-05-25 13:29:10",150.779,29,18.1225015180381,40.3351467572548,765249.682908058,4469637.06819106
"2028-05-25 13:29:15",150.779,29,18.1225016661713,40.3351467099342,765249.695679195,4469637.06338174
